lea/h2,2.12E-09,2.12E-03,9.00E+02,2.50E-01,6.94E-11,6.94E-23,6.94E-05,6.94E-17,2.16E-06,2.12E-03,8.33E-10,8.33E-22,8.33E-04,8.33E-16,2.74E-01,7.62E-05,2.12E-14,2.12E-26,2.12E-08,2.12E-20,1.00E+00,7.72E-08,2.74E+02,7.62E-02,2.12E-11,2.12E-23,2.12E-05,2.12E-17,1.70E-01,4.73E-05,1.32E-14,1.32E-26,1.32E-08,1.32E-20,2.12E-08,2.12E-20,2.12E-02,2.12E-14,2.12E-02,2.12E-14,2.12E+04,2.12E-08,2.12E-05,2.12E-17,2.12E+01,2.12E-11,8.33E-02,2.31E-11,2.31E-23,2.31E-05,2.31E-17
lea/s2,2.74E-02,2.74E+04,1.17E+10,3.24E+06,9.00E-04,9.00E-16,9.00E+02,9.00E-10,2.80E+01,2.74E+04,1.08E-02,1.08E-14,1.08E+04,1.08E-08,3.56E+06,9.88E+02,2.74E-07,2.74E-19,2.74E-01,2.74E-13,1.30E+07,1.00E+00,3.56E+09,9.88E+05,2.74E-04,2.74E-16,2.74E+02,2.74E-10,2.21E+06,6.14E+02,1.70E-07,1.70E-19,1.70E-01,1.70E-13,2.74E-01,2.74E-13,2.74E+05,2.74E-07,2.74E+05,2.74E-07,2.74E+11,2.74E-01,2.74E+02,2.74E-10,2.74E+08,2.74E-04,1.08E+06,3.00E-04,3.00E-16,3.00E+02,3.00E-10
m/h2,7.72E-12,7.72E-06,3.28E+00,9.11E-04,2.53E-13,2.53E-25,2.53E-07,2.53E-19,7.87E-09,7.72E-06,3.04E-12,3.04E-24,3.04E-06,3.04E-18,1.00E-03,2.78E-07,7.72E-17,7.72E-29,7.72E-11,7.72E-23,3.65E-03,2.81E-10,1.00E+00,2.78E-04,7.72E-14,7.72E-26,7.72E-08,7.72E-20,6.21E-04,1.73E-07,4.79E-17,4.79E-29,4.79E-11,4.79E-23,7.72E-11,7.72E-23,7.72E-05,7.72E-17,7.72E-05,7.72E-17,7.72E+01,7.72E-11,7.72E-08,7.72E-20,7.72E-02,7.72E-14,3.04E-04,8.44E-14,8.44E-26,8.44E-08,8.44E-20
m/min2,2.78E-08,2.78E-02,1.18E+04,3.28E+00,9.11E-10,9.11E-22,9.11E-04,9.11E-16,2.83E-05,2.78E-02,1.09E-08,1.09E-20,1.09E-02,1.09E-14,3.60E+00,1.00E-03,2.78E-13,2.78E-25,2.78E-07,2.78E-19,1.31E+01,1.01E-06,3.60E+03,1.00E+00,2.78E-10,2.78E-22,2.78E-04,2.78E-16,2.24E+00,6.21E-04,1.73E-13,1.73E-25,1.73E-07,1.73E-19,2.78E-07,2.78E-19,2.78E-01,2.78E-13,2.78E-01,2.78E-13,2.78E+05,2.78E-07,2.78E-04,2.78E-16,2.78E+02,2.78E-10,1.09E+00,3.04E-10,3.04E-22,3.04E-04,3.04E-16
m/ms2,1.00E+02,1.00E+08,4.25E+13,1.18E+10,3.28E+00,3.28E-12,3.28E+06,3.28E-06,1.02E+05,1.00E+08,3.94E+01,3.94E-11,3.94E+07,3.94E-05,1.30E+10,3.60E+06,1.00E-03,1.00E-15,1.00E+03,1.00E-09,4.72E+10,3.65E+03,1.30E+13,3.60E+09,1.00E+00,1.00E-12,1.00E+06,1.00E-06,8.05E+09,2.24E+06,6.21E-04,6.21E-16,6.21E+02,6.21E-10,1.00E+03,1.00E-09,1.00E+09,1.00E-03,1.00E+09,1.00E-03,1.00E+15,1.00E+03,1.00E+06,1.00E-06,1.00E+12,1.00E+00,3.94E+09,1.09E+00,1.09E-12,1.09E+06,1.09E-06
m/ns2,1.00E+14,1.00E+20,4.25E+25,1.18E+22,3.28E+12,3.28E+00,3.28E+18,3.28E+06,1.02E+17,1.00E+20,3.94E+13,3.94E+01,3.94E+19,3.94E+07,1.30E+22,3.60E+18,1.00E+09,1.00E-03,1.00E+15,1.00E+03,4.72E+22,3.65E+15,1.30E+25,3.60E+21,1.00E+12,1.00E+00,1.00E+18,1.00E+06,8.05E+21,2.24E+18,6.21E+08,6.21E-04,6.21E+14,6.21E+02,1.00E+15,1.00E+03,1.00E+21,1.00E+09,1.00E+21,1.00E+09,1.00E+27,1.00E+15,1.00E+18,1.00E+06,1.00E+24,1.00E+12,3.94E+21,1.09E+12,1.09E+00,1.09E+18,1.09E+06
m/s2,1.00E-04,1.00E+02,4.25E+07,1.18E+04,3.28E-06,3.28E-18,3.28E+00,3.28E-12,1.02E-01,1.00E+02,3.94E-05,3.94E-17,3.94E+01,3.94E-11,1.30E+04,3.60E+00,1.00E-09,1.00E-21,1.00E-03,1.00E-15,4.72E+04,3.65E-03,1.30E+07,3.60E+03,1.00E-06,1E-18,1.00E+00,1.00E-12,8.05E+03,2.24E+00,6.21E-10,6.21E-22,6.21E-04,6.21E-16,1.00E-03,1.00E-15,1.00E+03,1.00E-09,1.00E+03,1.00E-09,1.00E+09,1.00E-03,1.00E+00,1.00E-12,1.00E+06,1.00E-06,3.94E+03,1.09E-06,1.09E-18,1.09E+00,1.09E-12
m/us2,1.00E+08,1.00E+14,4.25E+19,1.18E+16,3.28E+06,3.28E-06,3.28E+12,3.28E+00,1.02E+11,1.00E+14,3.94E+07,3.94E-05,3.94E+13,3.94E+01,1.30E+16,3.60E+12,1.00E+03,1.00E-09,1.00E+09,1.00E-03,4.72E+16,3.65E+09,1.30E+19,3.60E+15,1.00E+06,1E-06,1000000000000,1.00E+00,8.05E+15,2.24E+12,6.21E+02,6.21E-10,6.21E+08,6.21E-04,1.00E+09,1.00E-03,1.00E+15,1.00E+03,1.00E+15,1.00E+03,1.00E+21,1.00E+09,1.00E+12,1.00E+00,1.00E+18,1.00E+06,3.94E+15,1.09E+06,1.09E-06,1.09E+12,1.09E+00
mi/h2,1.24E-08,1.24E-02,5.28E+03,1.47E+00,4.07E-10,4.07E-22,4.07E-04,4.07E-16,1.27E-05,1.24E-02,4.89E-09,4.89E-21,4.89E-03,4.89E-15,1.61E+00,4.47E-04,1.24E-13,1.24E-25,1.24E-07,1.24E-19,5.87E+00,4.53E-07,1.61E+03,4.47E-01,1.24E-10,1.24177777028296E-22,0.000124177777028,1.24177777028296E-16,1.00E+00,2.78E-04,7.72E-14,7.72E-26,7.72E-08,7.72E-20,1.24E-07,1.24E-19,1.24E-01,1.24E-13,1.24E-01,1.24E-13,1.24E+05,1.24E-07,1.24E-04,1.24E-16,1.24E+02,1.24E-10,4.89E-01,1.36E-10,1.36E-22,1.36E-04,1.36E-16
mi/min2,4.47E-05,4.47E+01,1.90E+07,5.28E+03,1.47E-06,1.47E-18,1.47E+00,1.47E-12,4.56E-02,4.47E+01,1.76E-05,1.76E-17,1.76E+01,1.76E-11,5.79E+03,1.61E+00,4.47E-10,4.47E-22,4.47E-04,4.47E-16,2.11E+04,1.63E-03,5.79E+06,1.61E+03,4.47E-07,4.47039998412114E-19,0.447039998412114,4.47039998412114E-13,3.60E+03,1.00E+00,2.78E-10,2.78E-22,2.78E-04,2.78E-16,4.47E-04,4.47E-16,4.47E+02,4.47E-10,4.47E+02,4.47E-10,4.47E+08,4.47E-04,4.47E-01,4.47E-13,4.47E+05,4.47E-07,1.76E+03,4.89E-07,4.89E-19,4.89E-01,4.89E-13
