megâmetro3,1.00E+48,1.18E-30,1.00E+72,1.00E+23,1.00E+24,2.03E+23,1.69E+23,6.76E+22,5.63E+22,1.00E+15,1.00E+22,1.00E+21,1.00E-36,1.00E+53,2.64E+20,2.20E+20,1.00E-09,1.00E+12,1.31E+18,1.00E+21,1.00E+00,1.00E+18,1.00E+36,1.57E+08,2.40E+08,1.00E+24,1.00E+27,1.00E+45,3.38E+22,3.52E+22,3.40E-32,3.53E+19,1.00E-27,1.00E+54,6.10E+22,2.11E+21,1.76E+21,8.80E+20,1.06E+21,1.00E+09,1.00E-18,2.99E-16,4.23E+21,3.52E+21,1.00E+90,1.00E-54,1.00E+81,1.00E-45
metro3,1.00E+30,1.18E-48,1.00E+54,1.00E+05,1.00E+06,2.03E+05,1.69E+05,6.76E+04,5.63E+04,1.00E-03,1.00E+04,1.00E+03,1.00E-54,1.00E+35,2.64E+02,2.20E+02,1.00E-27,1.00E-06,1.31E+00,1.00E+03,1.00E-18,1.00E+00,1.00E+18,1.57E-10,2.40E-10,1.00E+06,1.00E+09,1.00E+27,3.38E+04,3.52E+04,3.40E-50,3.53E+01,1.00E-45,1.00E+36,6.10E+04,2.11E+03,1.76E+03,8.80E+02,1.06E+03,1.00E-09,1.00E-36,2.99E-34,4.23E+03,3.52E+03,1.00E+72,1.00E-72,1.00E+63,1.00E-63
micrômetro3,1.00E+12,1.18E-66,1.00E+36,1.00E-13,1.00E-12,2.03E-13,1.69E-13,6.76E-14,5.63E-14,1.00E-21,1.00E-14,1.00E-15,1.00E-72,1.00E+17,2.64E-16,2.20E-16,1.00E-45,1.00E-24,1.31E-18,1.00E-15,1.00E-36,1.00E-18,1.00E+00,1.57E-28,2.40E-28,1.00E-12,1.00E-09,1.00E+09,3.38E-14,3.52E-14,3.40E-68,3.53E-17,1.00E-63,1.00E+18,6.10E-14,2.11E-15,1.76E-15,8.80E-16,1.06E-15,1.00E-27,1.00E-54,2.99E-52,4.23E-15,3.52E-15,1.00E+54,1.00E-90,1.00E+45,1.00E-81
milha náutica3,6.35E+39,7.50E-39,6.35E+63,6.35E+14,6.35E+15,1.29E+15,1.07E+15,4.30E+14,3.58E+14,6.35E+06,6.35E+13,6.35E+12,6.35E-45,6.35E+44,1.68E+12,1.40E+12,6.35E-18,6.35E+03,8.31E+09,6.35E+12,6.35E-09,6.35E+09,6.35E+27,1.00E+00,1.52E+00,6.35E+15,6.35E+18,6.35E+36,2.15E+14,2.24E+14,2.16E-40,2.24E+11,6.35E-36,6.35E+45,3.88E+14,1.34E+13,1.12E+13,5.59E+12,6.71E+12,6.35E+00,6.35E-27,1.90E-24,2.68E+13,2.24E+13,6.35E+81,6.35E-63,6.35E+72,6.35E-54
milhas3,4.17E+39,4.92E-39,4.17E+63,4.17E+14,4.17E+15,8.46E+14,7.04E+14,2.82E+14,2.35E+14,4.17E+06,4.17E+13,4.17E+12,4.17E-45,4.17E+44,1.10E+12,9.17E+11,4.17E-18,4.17E+03,5.45E+09,4.17E+12,4.17E-09,4.17E+09,4.17E+27,6.56E-01,1.00E+00,4.17E+15,4.17E+18,4.17E+36,1.41E+14,1.47E+14,1.42E-40,1.47E+11,4.17E-36,4.17E+45,2.54E+14,8.81E+12,7.34E+12,3.67E+12,4.40E+12,4.17E+00,4.17E-27,1.25E-24,1.76E+13,1.47E+13,4.17E+81,4.17E-63,4.17E+72,4.17E-54
mililitro,1.00E+24,1.18E-54,1.00E+48,1.00E-01,1.00E+00,2.03E-01,1.69E-01,6.76E-02,5.63E-02,1.00E-09,1.00E-02,1.00E-03,1.00E-60,1.00E+29,2.64E-04,2.20E-04,1.00E-33,1.00E-12,1.31E-06,1.00E-03,1.00E-24,1.00E-06,1.00E+12,1.57E-16,2.40E-16,1.00E+00,1.00E+03,1.00E+21,3.38E-02,3.52E-02,3.40E-56,3.53E-05,1.00E-51,1.00E+30,6.10E-02,2.11E-03,1.76E-03,8.80E-04,1.06E-03,1.00E-15,1.00E-42,2.99E-40,4.23E-03,3.52E-03,1.00E+66,1.00E-78,1.00E+57,1.00E-69
milímetro3,1.00E+21,1.18E-57,1.00E+45,1.00E-04,1.00E-03,2.03E-04,1.69E-04,6.76E-05,5.63E-05,1.00E-12,1.00E-05,1.00E-06,1.00E-63,1.00E+26,2.64E-07,2.20E-07,1.00E-36,1.00E-15,1.31E-09,1.00E-06,1.00E-27,1.00E-09,1.00E+09,1.57E-19,2.40E-19,0.001,1.00E+00,1.00E+18,3.38E-05,3.52E-05,3.40E-59,3.53E-08,1.00E-54,1.00E+27,6.10E-05,2.11E-06,1.76E-06,8.80E-07,1.06E-06,1.00E-18,1.00E-45,2.99E-43,4.23E-06,3.52E-06,1.00E+63,1.00E-81,1.00E+54,1.00E-72
nanômetro3,1.00E+03,1.18E-75,1.00E+27,1.00E-22,1.00E-21,2.03E-22,1.69E-22,6.76E-23,5.63E-23,1.00E-30,1.00E-23,1.00E-24,1.00E-81,1.00E+08,2.64E-25,2.20E-25,1.00E-54,1.00E-33,1.31E-27,1.00E-24,1.00E-45,1.00E-27,1.00E-09,1.57E-37,2.40E-37,1E-21,1E-18,1.00E+00,3.38E-23,3.52E-23,3.40E-77,3.53E-26,1.00E-72,1.00E+09,6.10E-23,2.11E-24,1.76E-24,8.80E-25,1.06E-24,1.00E-36,1.00E-63,2.99E-61,4.23E-24,3.52E-24,1.00E+45,1.00E-99,1.00E+36,1.00E-90
onça líquida americana,2.96E+25,3.49E-53,2.96E+49,2.96E+00,2.96E+01,6.00E+00,5.00E+00,2.00E+00,1.67E+00,2.96E-08,2.96E-01,2.96E-02,2.96E-59,2.96E+30,7.81E-03,6.51E-03,2.96E-32,2.96E-11,3.87E-05,2.96E-02,2.96E-23,2.96E-05,2.96E+13,4.66E-15,7.10E-15,29.5735494174011,29573.5494174011,2.95735494174011E+022,1.00E+00,1.04E+00,1.01E-54,1.04E-03,2.96E-50,2.96E+31,1.80E+00,6.25E-02,5.20E-02,2.60E-02,3.13E-02,2.96E-14,2.96E-41,8.83E-39,1.25E-01,1.04E-01,2.96E+67,2.96E-77,2.96E+58,2.96E-68
onça líquida imperial,2.84E+25,3.36E-53,2.84E+49,2.84E+00,2.84E+01,5.76E+00,4.80E+00,1.92E+00,1.60E+00,2.84E-08,2.84E-01,2.84E-02,2.84E-59,2.84E+30,7.51E-03,6.25E-03,2.84E-32,2.84E-11,3.72E-05,2.84E-02,2.84E-23,2.84E-05,2.84E+13,4.47E-15,6.82E-15,28.413046134263,28413.046134263,2.8413046134263E+022,9.61E-01,1.00E+00,9.67E-55,1.00E-03,2.84E-50,2.84E+31,1.73E+00,6.00E-02,5.00E-02,2.50E-02,3.00E-02,2.84E-14,2.84E-41,8.49E-39,1.20E-01,1.00E-01,2.84E+67,2.84E-77,2.84E+58,2.84E-68
