lea/h,2.74E+04,4.57E+02,7.62E-03,7.62E+00,9.00E+02,1.50E+01,2.50E-04,2.50E-10,2.50E-01,2.50E-07,3.00E-03,3.00E-09,3.00E+00,3.00E-06,2.74E-01,4.57E-03,7.62E-08,7.62E-14,7.62E-05,7.62E-11,1.00E+00,2.78E-04,2.74E+02,4.57E+00,7.62E-05,7.62E-11,7.62E-02,7.62E-08,1.70E-01,2.84E-03,4.73E-08,4.73E-14,4.73E-05,4.73E-11,7.62E-02,7.62E-08,7.62E+01,7.62E-05,7.62E+04,7.62E-02,7.62E+07,7.62E+01,7.62E+01,7.62E-05,7.62E+04,7.62E-02,5.00E+00,8.33E-05,8.33E-11,8.33E-02,8.33E-08
lea/s,9.88E+07,1.65E+06,2.74E+01,2.74E+04,3.24E+06,5.40E+04,9.00E-01,9.00E-07,9.00E+02,9.00E-04,1.08E+01,1.08E-05,1.08E+04,1.08E-02,9.88E+02,1.65E+01,2.74E-04,2.74E-10,2.74E-01,2.74E-07,3.60E+03,1.00E+00,9.88E+05,1.65E+04,2.74E-01,2.74E-07,2.74E+02,2.74E-04,6.14E+02,1.02E+01,1.70E-04,1.70E-10,1.70E-01,1.70E-07,2.74E+02,2.74E-04,2.74E+05,2.74E-01,2.74E+08,2.74E+02,2.74E+11,2.74E+05,2.74E+05,2.74E-01,2.74E+08,2.74E+02,1.80E+04,3.00E-01,3.00E-07,3.00E+02,3.00E-04
m/h,1.00E+02,1.67E+00,2.78E-05,2.78E-02,3.28E+00,5.47E-02,9.11E-07,9.11E-13,9.11E-04,9.11E-10,1.09E-05,1.09E-11,1.09E-02,1.09E-08,1.00E-03,1.67E-05,2.78E-10,2.78E-16,2.78E-07,2.78E-13,3.65E-03,1.01E-06,1.00E+00,1.67E-02,2.78E-07,2.78E-13,2.78E-04,2.78E-10,6.21E-04,1.04E-05,1.73E-10,1.73E-16,1.73E-07,1.73E-13,2.78E-04,2.78E-10,2.78E-01,2.78E-07,2.78E+02,2.78E-04,2.78E+05,2.78E-01,2.78E-01,2.78E-07,2.78E+02,2.78E-04,1.82E-02,3.04E-07,3.04E-13,3.04E-04,3.04E-10
m/min,6.00E+03,1.00E+02,1.67E-03,1.67E+00,1.97E+02,3.28E+00,5.47E-05,5.47E-11,5.47E-02,5.47E-08,6.56E-04,6.56E-10,6.56E-01,6.56E-07,6.00E-02,1.00E-03,1.67E-08,1.67E-14,1.67E-05,1.67E-11,2.19E-01,6.08E-05,6.00E+01,1.00E+00,1.67E-05,1.67E-11,1.67E-02,1.67E-08,3.73E-02,6.21E-04,1.04E-08,1.04E-14,1.04E-05,1.04E-11,1.67E-02,1.67E-08,1.67E+01,1.67E-05,1.67E+04,1.67E-02,1.67E+07,1.67E+01,1.67E+01,1.67E-05,1.67E+04,1.67E-02,1.09E+00,1.82E-05,1.82E-11,1.82E-02,1.82E-08
m/ms,3.60E+08,6.00E+06,1.00E+02,1.00E+05,1.18E+07,1.97E+05,3.28E+00,3.28E-06,3.28E+03,3.28E-03,3.94E+01,3.94E-05,3.94E+04,3.94E-02,3.60E+03,6.00E+01,1.00E-03,1.00E-09,1.00E+00,1.00E-06,1.31E+04,3.65E+00,3.60E+06,6.00E+04,1.00E+00,1.00E-06,1.00E+03,1.00E-03,2.24E+03,3.73E+01,6.21E-04,6.21E-10,6.21E-01,6.21E-07,1.00E+03,1.00E-03,1.00E+06,1.00E+00,1.00E+09,1.00E+03,1.00E+12,1.00E+06,1.00E+06,1.00E+00,1.00E+09,1.00E+03,6.56E+04,1.09E+00,1.09E-06,1.09E+03,1.09E-03
m/ns,3.60E+14,6.00E+12,1.00E+08,1.00E+11,1.18E+13,1.97E+11,3.28E+06,3.28E+00,3.28E+09,3.28E+03,3.94E+07,3.94E+01,3.94E+10,3.94E+04,3.60E+09,6.00E+07,1.00E+03,1.00E-03,1.00E+06,1.00E+00,1.31E+10,3.65E+06,3.60E+12,6.00E+10,1.00E+06,1.00E+00,1.00E+09,1.00E+03,2.24E+09,3.73E+07,6.21E+02,6.21E-04,6.21E+05,6.21E-01,1.00E+09,1.00E+03,1.00E+12,1.00E+06,1.00E+15,1.00E+09,1.00E+18,1.00E+12,1.00E+12,1.00E+06,1.00E+15,1.00E+09,6.56E+10,1.09E+06,1.09E+00,1.09E+09,1.09E+03
m/s,3.60E+05,6.00E+03,1.00E-01,1.00E+02,1.18E+04,1.97E+02,3.28E-03,3.28E-09,3.28E+00,3.28E-06,3.94E-02,3.94E-08,3.94E+01,3.94E-05,3.60E+00,6.00E-02,1.00E-06,1.00E-12,1.00E-03,1.00E-09,1.31E+01,3.65E-03,3.60E+03,6.00E+01,1.00E-03,1E-09,1.00E+00,1.00E-06,2.24E+00,3.73E-02,6.21E-07,6.21E-13,6.21E-04,6.21E-10,1.00E+00,1.00E-06,1.00E+03,1.00E-03,1.00E+06,1.00E+00,1.00E+09,1.00E+03,1.00E+03,1.00E-03,1.00E+06,1.00E+00,6.56E+01,1.09E-03,1.09E-09,1.09E+00,1.09E-06
m/us,3.60E+11,6.00E+09,1.00E+05,1.00E+08,1.18E+10,1.97E+08,3.28E+03,3.28E-03,3.28E+06,3.28E+00,3.94E+04,3.94E-02,3.94E+07,3.94E+01,3.60E+06,6.00E+04,1.00E+00,1.00E-06,1.00E+03,1.00E-03,1.31E+07,3.65E+03,3.60E+09,6.00E+07,1.00E+03,0.001,1000000,1.00E+00,2.24E+06,3.73E+04,6.21E-01,6.21E-07,6.21E+02,6.21E-04,1.00E+06,1.00E+00,1.00E+09,1.00E+03,1.00E+12,1.00E+06,1.00E+15,1.00E+09,1.00E+09,1.00E+03,1.00E+12,1.00E+06,6.56E+07,1.09E+03,1.09E-03,1.09E+06,1.09E+00
mi/h,1.61E+05,2.68E+03,4.47E-02,4.47E+01,5.28E+03,8.80E+01,1.47E-03,1.47E-09,1.47E+00,1.47E-06,1.76E-02,1.76E-08,1.76E+01,1.76E-05,1.61E+00,2.68E-02,4.47E-07,4.47E-13,4.47E-04,4.47E-10,5.87E+00,1.63E-03,1.61E+03,2.68E+01,4.47E-04,4.4704000518595E-10,0.44704000518595,4.4704000518595E-07,1.00E+00,1.67E-02,2.78E-07,2.78E-13,2.78E-04,2.78E-10,4.47E-01,4.47E-07,4.47E+02,4.47E-04,4.47E+05,4.47E-01,4.47E+08,4.47E+02,4.47E+02,4.47E-04,4.47E+05,4.47E-01,2.93E+01,4.89E-04,4.89E-10,4.89E-01,4.89E-07
mi/min,9.66E+06,1.61E+05,2.68E+00,2.68E+03,3.17E+05,5.28E+03,8.80E-02,8.80E-08,8.80E+01,8.80E-05,1.06E+00,1.06E-06,1.06E+03,1.06E-03,9.66E+01,1.61E+00,2.68E-05,2.68E-11,2.68E-02,2.68E-08,3.52E+02,9.78E-02,9.66E+04,1.61E+03,2.68E-02,2.6822399016163E-08,26.822399016163,2.6822399016163E-05,6.00E+01,1.00E+00,1.67E-05,1.67E-11,1.67E-02,1.67E-08,2.68E+01,2.68E-05,2.68E+04,2.68E-02,2.68E+07,2.68E+01,2.68E+10,2.68E+04,2.68E+04,2.68E-02,2.68E+07,2.68E+01,1.76E+03,2.93E-02,2.93E-08,2.93E+01,2.93E-05
