petâmetro2,2.47E+26,1.00E+50,1.12E-02,1.00E+66,1.00E+34,1.00E+28,1.00E+32,1.00E-06,1.00E+60,1.00E+12,1.00E+26,1.00E+26,1.20E+30,1.00E+18,1.00E+30,1.00E+42,2.92E+23,3.86E+23,1.00E+36,1.00E+48,1.05E-03,1.08E+31,1.00E+00,1.00E+54,1.55E+33,1.00E+24,1.00E+06,4.47E+07,1.00E+78,1.00E-18,1.00E+72,1.00E-12
picômetro2,2.47E-28,1.00E-04,1.12E-56,1.00E+12,1.00E-20,1.00E-26,1.00E-22,1.00E-60,1.00E+06,1.00E-42,1.00E-28,1.00E-28,1.20E-24,1.00E-36,1.00E-24,1.00E-12,2.92E-31,3.86E-31,1.00E-18,1.00E-06,1.05E-57,1.08E-23,1.00E-54,1.00E+00,1.55E-21,1.00E-30,1.00E-48,4.47E-47,1.00E+24,1.00E-72,1.00E+18,1.00E-66
polegadas2,1.59E-07,6.45E+16,7.21E-36,6.45E+32,6.45E+00,6.45E-06,6.45E-02,6.45E-40,6.45E+26,6.45E-22,6.45E-08,6.45E-08,7.72E-04,6.45E-16,6.45E-04,6.45E+08,1.88E-10,2.49E-10,6.45E+02,6.45E+14,6.78E-37,6.94E-03,6.45E-34,6.45E+20,1.00E+00,6.45E-10,6.45E-28,2.88E-26,6.45E+44,6.45E-52,6.45E+38,6.45E-46
quilômetro2,2.47E+02,1.00E+26,1.12E-26,1.00E+42,1.00E+10,1.00E+04,1.00E+08,1.00E-30,1.00E+36,1.00E-12,1.00E+02,1.00E+02,1.20E+06,1.00E-06,1.00E+06,1.00E+18,2.92E-01,3.86E-01,1.00E+12,1.00E+24,1.05E-27,1.08E+07,1.00E-24,1.00E+30,1.55E+09,1.00E+00,1.00E-18,4.47E-17,1.00E+54,1.00E-42,1.00E+48,1.00E-36
terâmetro2,2.47E+20,1.00E+44,1.12E-08,1.00E+60,1.00E+28,1.00E+22,1.00E+26,1.00E-12,1.00E+54,1.00E+06,1.00E+20,1.00E+20,1.20E+24,1.00E+12,1.00E+24,1.00E+36,2.92E+17,3.86E+17,1.00E+30,1.00E+42,1.05E-09,1.08E+25,1.00E-06,1.00E+48,1.55E+27,1E+018,1.00E+00,4.47E+01,1.00E+72,1.00E-24,1.00E+66,1.00E-18
unidade astronômica2,5.53E+18,2.24E+42,2.50E-10,2.24E+58,2.24E+26,2.24E+20,2.24E+24,2.24E-14,2.24E+52,2.24E+04,2.24E+18,2.24E+18,2.68E+22,2.24E+10,2.24E+22,2.24E+34,6.52E+15,8.64E+15,2.24E+28,2.24E+40,2.35E-11,2.41E+23,2.24E-08,2.24E+46,3.47E+25,2.23794855913598E+016,0.02237948559136,1.00E+00,2.24E+70,2.24E-26,2.24E+64,2.24E-20
yoctômetro2,2.47E-52,1.00E-28,1.12E-80,1.00E-12,1.00E-44,1.00E-50,1.00E-46,1.00E-84,1.00E-18,1.00E-66,1.00E-52,1.00E-52,1.20E-48,1.00E-60,1.00E-48,1.00E-36,2.92E-55,3.86E-55,1.00E-42,1.00E-30,1.05E-81,1.08E-47,1.00E-78,1.00E-24,1.55E-45,9.99965406473932E-55,9.99965406473932E-73,4.46822337533976E-71,1.00E+00,1.00E-96,1.00E-06,1.00E-90
yottametro2,2.47E+44,1.00E+68,1.12E+16,1.00E+84,1.00E+52,1.00E+46,1.00E+50,1.00E+12,1.00E+78,1.00E+30,1.00E+44,1.00E+44,1.20E+48,1.00E+36,1.00E+48,1.00E+60,2.92E+41,3.86E+41,1.00E+54,1.00E+66,1.05E+15,1.08E+49,1.00E+18,1.00E+72,1.55E+51,1E+042,1E+024,4.46837795228893E+025,1.00E+96,1.00E+00,1.00E+90,1.00E+06
zeptômetro2,2.47E-46,1.00E-22,1.12E-74,1.00E-06,1.00E-38,1.00E-44,1.00E-40,1.00E-78,1.00E-12,1.00E-60,1.00E-46,1.00E-46,1.20E-42,1.00E-54,1.00E-42,1.00E-30,2.92E-49,3.86E-49,1.00E-36,1.00E-24,1.05E-75,1.08E-41,1.00E-72,1.00E-18,1.55E-39,9.99965406473931E-49,9.99965406473931E-67,4.46822337533976E-65,1.00E+06,1.00E-90,1.00E+00,1.00E-84
zettâmetro2,2.47E+38,1.00E+62,1.12E+10,1.00E+78,1.00E+46,1.00E+40,1.00E+44,1.00E+06,1.00E+72,1.00E+24,1.00E+38,1.00E+38,1.20E+42,1.00E+30,1.00E+42,1.00E+54,2.92E+35,3.86E+35,1.00E+48,1.00E+60,1.05E+09,1.08E+43,1.00E+12,1.00E+66,1.55E+45,1E+036,1E+018,4.46837795228893E+019,1.00E+90,1.00E-06,1.00E+84,1.00E+00
